npm WARN deprecated foo@1.0.0: Use bar@2.0.0 instead
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.5.15.tgz 430ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.9.15.tgz 260ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.0.9.tgz 106ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-15.1.19.tgz 434ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-19.5.0.tgz 252ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.14.17.tgz 414ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-19.9.7.tgz 266ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.2.16.tgz 243ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.6.12.tgz 366ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-16.12.5.tgz 471ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-19.2.14.tgz 294ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-20.12.12.tgz 134ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-17.13.6.tgz 188ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-15.2.11.tgz 358ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-15.7.9.tgz 133ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-15.2.6.tgz 355ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-17.6.17.tgz 153ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-16.8.2.tgz 341ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-19.15.1.tgz 74ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-15.9.0.tgz 232ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-18.6.10.tgz 434ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.11.4.tgz 409ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.13.16.tgz 101ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.0.18.tgz 457ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-18.1.9.tgz 132ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.14.2.tgz 370ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-20.7.6.tgz 463ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.5.16.tgz 314ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-17.14.4.tgz 223ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-17.13.1.tgz 414ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.6.19.tgz 360ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.15.3.tgz 462ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-16.9.17.tgz 494ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-18.3.14.tgz 210ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.5.2.tgz 193ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-17.2.2.tgz 141ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-17.15.8.tgz 440ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-20.4.3.tgz 341ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-15.11.9.tgz 255ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-19.4.14.tgz 237ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-19.10.11.tgz 92ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-19.14.8.tgz 499ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-19.1.7.tgz 408ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-15.4.3.tgz 198ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.12.2.tgz 164ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-18.2.11.tgz 288ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-20.14.3.tgz 93ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.3.12.tgz 443ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.12.10.tgz 83ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-17.15.6.tgz 409ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-15.8.14.tgz 69ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.15.4.tgz 377ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-17.1.19.tgz 446ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-15.11.13.tgz 292ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-15.6.0.tgz 438ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-17.8.20.tgz 140ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.2.8.tgz 257ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.14.13.tgz 318ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-20.8.5.tgz 475ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-15.13.10.tgz 435ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-16.6.11.tgz 264ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.5.13.tgz 231ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-15.6.2.tgz 420ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.10.0.tgz 127ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-16.15.10.tgz 108ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-17.0.14.tgz 476ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.14.20.tgz 346ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-15.6.6.tgz 265ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.12.6.tgz 228ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-16.0.11.tgz 466ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-15.9.9.tgz 307ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-20.15.20.tgz 283ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-18.11.11.tgz 474ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-18.10.3.tgz 140ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.11.5.tgz 333ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-19.13.12.tgz 195ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.9.19.tgz 488ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-15.3.2.tgz 382ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-19.13.3.tgz 304ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-15.14.16.tgz 347ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-20.9.13.tgz 158ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-18.12.3.tgz 150ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-15.11.14.tgz 261ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-15.11.7.tgz 309ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-17.8.9.tgz 479ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.7.0.tgz 262ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-15.0.4.tgz 454ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-19.10.10.tgz 137ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.12.6.tgz 365ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-15.13.4.tgz 375ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.5.12.tgz 212ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.13.7.tgz 100ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-19.3.20.tgz 345ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.8.17.tgz 131ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-16.2.2.tgz 63ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-15.4.0.tgz 366ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-15.12.0.tgz 430ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-18.11.5.tgz 172ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-17.6.17.tgz 480ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-20.12.8.tgz 387ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-17.2.4.tgz 371ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-20.3.3.tgz 285ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-15.4.9.tgz 184ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-15.2.15.tgz 482ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-16.12.3.tgz 301ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-18.2.15.tgz 370ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.13.12.tgz 210ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-16.5.9.tgz 55ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.1.3.tgz 225ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.0.5.tgz 317ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-15.6.19.tgz 65ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-15.4.6.tgz 493ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-15.6.0.tgz 217ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-16.2.4.tgz 187ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-18.6.2.tgz 228ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-20.9.14.tgz 431ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.12.6.tgz 178ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-16.8.12.tgz 102ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-16.6.15.tgz 271ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.8.10.tgz 368ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-19.12.13.tgz 152ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-17.2.14.tgz 135ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-19.8.18.tgz 259ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-19.11.12.tgz 65ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.10.13.tgz 454ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.7.2.tgz 160ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-17.4.10.tgz 112ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-17.0.10.tgz 159ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-19.10.7.tgz 337ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-18.9.19.tgz 158ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.3.17.tgz 192ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-19.13.13.tgz 212ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-16.6.1.tgz 460ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.1.8.tgz 265ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-15.14.5.tgz 357ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-19.12.7.tgz 345ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-17.0.20.tgz 451ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-18.9.4.tgz 480ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-15.1.10.tgz 380ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-15.15.3.tgz 474ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.9.8.tgz 212ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.2.17.tgz 446ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.1.12.tgz 202ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.3.11.tgz 366ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-15.7.1.tgz 472ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-16.3.10.tgz 491ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.5.2.tgz 147ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-19.0.1.tgz 182ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-15.1.9.tgz 88ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-17.12.8.tgz 407ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-16.14.3.tgz 114ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-16.13.20.tgz 278ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-19.7.18.tgz 294ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-17.10.15.tgz 165ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.9.2.tgz 230ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.6.2.tgz 88ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-15.6.0.tgz 393ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-18.12.6.tgz 299ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.6.18.tgz 439ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-19.10.9.tgz 412ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-20.4.16.tgz 104ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-16.11.12.tgz 281ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.12.6.tgz 85ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-18.5.9.tgz 495ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.14.3.tgz 431ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.0.14.tgz 145ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-15.15.16.tgz 281ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-17.3.17.tgz 93ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.6.4.tgz 253ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-18.10.1.tgz 275ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-17.3.1.tgz 382ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-20.13.6.tgz 200ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-18.5.19.tgz 191ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-19.15.16.tgz 271ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-20.1.20.tgz 177ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.3.1.tgz 68ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-16.2.17.tgz 101ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-16.12.12.tgz 251ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.8.15.tgz 155ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-16.11.20.tgz 197ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-20.0.3.tgz 144ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-20.15.9.tgz 486ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-16.10.2.tgz 135ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.14.4.tgz 56ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-18.10.0.tgz 140ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-15.5.0.tgz 354ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.0.15.tgz 497ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-18.3.1.tgz 469ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-19.9.7.tgz 318ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-16.4.3.tgz 101ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-20.10.14.tgz 301ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-19.8.15.tgz 179ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.0.11.tgz 204ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-19.15.3.tgz 188ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-20.0.4.tgz 260ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-20.4.11.tgz 304ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-16.13.11.tgz 155ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-16.12.20.tgz 105ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-20.14.16.tgz 139ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-20.11.10.tgz 250ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-17.9.6.tgz 71ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-20.10.19.tgz 112ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-18.11.9.tgz 106ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-18.4.14.tgz 398ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-19.9.19.tgz 335ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.15.9.tgz 83ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-15.14.1.tgz 161ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-19.3.1.tgz 300ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-15.13.11.tgz 388ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-15.8.4.tgz 229ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-19.4.2.tgz 415ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-16.6.13.tgz 349ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.7.1.tgz 292ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-16.12.13.tgz 254ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.9.19.tgz 209ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-19.13.10.tgz 461ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-20.6.8.tgz 119ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-19.6.9.tgz 206ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.14.17.tgz 143ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-18.3.4.tgz 319ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-20.10.16.tgz 400ms
npm http fetch GET 200 https://registry.npmjs.org/webpack/-/webpack-18.11.13.tgz 288ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-18.14.0.tgz 336ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-18.2.4.tgz 364ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-16.11.4.tgz 367ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-19.9.1.tgz 436ms
npm http fetch GET 200 https://registry.npmjs.org/babel-core/-/babel-core-16.12.0.tgz 286ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-18.1.2.tgz 78ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-20.3.10.tgz 354ms
npm http fetch GET 200 https://registry.npmjs.org/express/-/express-17.15.10.tgz 492ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-15.1.6.tgz 314ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-19.15.4.tgz 164ms
npm http fetch GET 200 https://registry.npmjs.org/lodash/-/lodash-17.9.0.tgz 462ms
npm http fetch GET 200 https://registry.npmjs.org/jest/-/jest-19.6.3.tgz 84ms
npm http fetch GET 200 https://registry.npmjs.org/react/-/react-16.3.16.tgz 99ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-16.3.15.tgz 62ms
npm http fetch GET 200 https://registry.npmjs.org/typescript/-/typescript-18.12.1.tgz 112ms
npm http fetch GET 200 https://registry.npmjs.org/vue/-/vue-18.15.5.tgz 469ms
npm http fetch GET 200 https://registry.npmjs.org/axios/-/axios-19.8.19.tgz 398ms
