date,product,region,units,revenue
2026-02-10,widget-c,EU,10,236.62
2026-02-18,widget-b,EU,71,3384.1
2026-01-12,widget-c,LATAM,91,1021.91
2026-03-25,widget-b,LATAM,21,254.78
2026-02-12,widget-b,US,53,2007.53
2026-04-03,gadget-y,APAC,85,1806.33
2026-01-31,widget-a,EU,51,1675.9
2026-03-04,widget-b,EU,47,476.7
2026-01-12,widget-c,LATAM,26,360.61
2026-01-27,widget-b,APAC,11,318.26
2026-01-15,widget-c,LATAM,61,1802.79
2026-03-26,widget-c,EU,83,2635.67
2026-01-24,widget-c,LATAM,48,837.76
2026-01-06,widget-c,LATAM,60,1231.56
2026-02-04,gadget-y,EU,20,801.59
2026-03-27,widget-a,EU,86,2041.78
2026-03-11,gadget-x,US,71,882.48
2026-02-19,gadget-y,LATAM,69,2585.62
2026-03-02,gadget-y,US,61,1338.59
2026-02-20,widget-a,US,16,767.36
2026-02-27,widget-b,US,28,1185.2
2026-01-17,widget-a,LATAM,11,544.73
2026-02-25,widget-b,US,77,1563.52
2026-04-04,widget-a,EU,50,1612.23
2026-03-12,widget-c,APAC,67,1897.19
2026-01-02,gadget-y,LATAM,15,398.52
2026-01-19,gadget-y,EU,14,454.96
2026-01-13,widget-c,APAC,53,1089.44
2026-03-25,gadget-x,LATAM,5,84.39
2026-02-21,widget-b,LATAM,5,129.11
2026-02-12,widget-b,EU,96,2783.88
2026-02-04,widget-c,EU,44,1878.16
2026-02-08,widget-c,APAC,63,2792.12
2026-03-29,widget-a,US,18,396.17
2026-04-06,gadget-x,APAC,35,1369.97
2026-03-19,widget-a,US,57,1051.4
2026-02-22,gadget-x,APAC,8,244.81
2026-01-21,widget-a,APAC,91,2753.82
2026-01-18,gadget-y,EU,23,407.11
2026-01-26,widget-a,US,5,141.24
2026-02-16,widget-b,APAC,48,2060.65
2026-03-06,gadget-x,EU,88,986.7
2026-02-17,gadget-x,LATAM,23,1113.45
2026-03-02,gadget-y,APAC,45,743.87
2026-02-03,widget-a,APAC,4,101.81
2026-01-21,gadget-y,US,29,1040.67
2026-03-28,widget-b,APAC,84,2215.1
2026-01-03,widget-a,LATAM,17,610.04
2026-03-18,widget-a,US,33,1132.68
2026-02-09,widget-c,LATAM,49,2158.62
2026-02-28,widget-c,US,60,1324.55
2026-03-08,gadget-y,LATAM,75,1056.19
2026-03-07,widget-c,APAC,39,1457.29
2026-03-03,widget-a,APAC,36,1282.1
2026-02-05,widget-c,APAC,25,399.68
2026-04-08,widget-b,EU,77,2013.85
2026-02-10,widget-b,EU,84,2510.33
2026-02-07,widget-c,LATAM,52,1327.09
2026-01-05,gadget-y,US,44,1718.29
2026-01-29,gadget-y,LATAM,86,2092.37
2026-02-08,widget-b,US,38,527.98
2026-01-17,widget-c,US,88,4045.68
2026-03-25,widget-a,US,46,870.46
2026-02-09,gadget-x,APAC,48,979.79
2026-02-07,gadget-x,EU,61,740.36
2026-03-23,gadget-y,EU,61,2779.59
2026-03-06,widget-a,LATAM,68,1490.85
2026-01-07,widget-b,US,26,616.12
2026-03-14,gadget-x,US,41,1823.92
2026-01-24,widget-a,LATAM,43,1514.95
2026-01-23,widget-c,EU,1,28.07
2026-01-27,widget-b,US,63,2608.1
2026-04-10,widget-a,US,79,2159.74
2026-02-24,gadget-x,LATAM,62,1570.0
2026-01-05,gadget-y,US,94,2341.92
2026-01-02,widget-c,US,3,111.18
2026-03-22,widget-b,US,89,4011.18
2026-02-09,widget-b,EU,50,1506.17
2026-02-09,widget-b,EU,6,131.51
2026-02-07,gadget-x,APAC,56,2548.5
2026-01-18,widget-c,LATAM,46,1839.75
2026-01-22,gadget-x,EU,30,568.89
2026-01-17,widget-b,EU,76,2293.33
2026-01-16,widget-c,EU,49,2207.54
2026-02-02,gadget-y,EU,77,3832.85
2026-03-26,widget-a,EU,7,263.06
2026-02-23,gadget-x,LATAM,16,510.1
2026-03-02,widget-b,US,89,3330.34
2026-01-02,widget-c,LATAM,85,1192.48
2026-03-08,widget-c,US,54,2333.67
2026-01-14,gadget-y,EU,37,538.37
2026-01-14,gadget-x,US,78,1402.44
2026-02-03,gadget-y,US,46,1753.86
2026-02-07,widget-b,EU,71,2118.94
2026-01-27,gadget-x,APAC,31,313.09
2026-03-27,widget-a,EU,74,2719.56
2026-01-20,widget-a,EU,93,3620.77
2026-02-02,widget-b,LATAM,38,781.09
2026-01-07,widget-a,US,6,264.48
2026-02-16,widget-c,LATAM,95,1389.47
2026-04-08,widget-a,EU,18,657.44
2026-01-22,widget-c,APAC,57,2747.03
2026-02-04,widget-a,APAC,44,761.41
2026-02-21,gadget-x,LATAM,35,1519.64
2026-03-30,gadget-x,LATAM,84,3816.54
2026-01-22,widget-a,US,90,3514.18
2026-01-21,widget-a,LATAM,76,2226.57
2026-03-14,gadget-x,US,79,1989.22
2026-02-15,gadget-y,EU,88,3976.54
2026-04-04,widget-b,LATAM,63,913.97
2026-02-22,gadget-x,EU,9,184.09
2026-02-10,widget-a,US,86,3862.75
2026-03-08,gadget-y,EU,56,2041.68
2026-02-01,gadget-x,APAC,85,3148.55
2026-02-19,widget-b,EU,2,71.45
2026-01-21,gadget-y,LATAM,64,2865.06
2026-01-10,gadget-x,APAC,31,720.0
2026-02-05,widget-a,US,71,2536.31
2026-02-21,widget-b,EU,59,1637.7
2026-03-15,gadget-x,EU,64,1783.85
2026-01-16,gadget-x,EU,14,365.79
2026-01-05,gadget-y,EU,12,499.94
2026-03-21,widget-c,US,84,3095.31
2026-02-13,widget-c,EU,29,1269.12
2026-02-12,gadget-y,LATAM,92,3337.46
2026-04-02,gadget-x,EU,13,524.72
2026-01-29,widget-a,APAC,46,1986.53
2026-02-07,gadget-y,APAC,90,1281.86
2026-01-22,gadget-x,US,92,3651.52
2026-02-22,widget-a,APAC,79,1408.32
2026-01-16,gadget-x,US,59,2535.36
2026-01-25,widget-c,EU,97,2577.17
2026-03-23,gadget-y,EU,99,4520.36
2026-02-28,gadget-y,US,64,650.46
2026-04-05,widget-a,LATAM,75,2198.05
2026-03-07,widget-b,US,94,4004.38
2026-01-14,gadget-x,APAC,65,2940.97
2026-02-23,gadget-y,US,36,932.57
2026-02-13,widget-c,LATAM,18,279.31
2026-03-19,gadget-y,APAC,90,2871.2
2026-02-10,gadget-y,US,26,477.84
2026-04-02,widget-c,APAC,87,1330.83
2026-04-01,widget-b,APAC,91,1329.17
2026-02-15,gadget-y,LATAM,75,2461.16
2026-03-27,gadget-x,APAC,55,2327.72
2026-03-08,widget-a,EU,49,774.35
2026-03-27,widget-a,US,35,1399.91
2026-01-21,widget-c,APAC,19,827.74
